isVegi;vegiLabel;name;content
"0";"fleisch";"Trailer Special";"Poulet Cordon bleu Tartarsauce Pommes frites Blattsalat"
"1";"vegi";"Vegi Menü";"Kichererbsen  Chili  mit Tomatiertem Wurzelgemüse  Tagessalat  "
"0";"fleisch";"Classic Menü";"Spaghetti Bolognaise (CH) mit Parmesan  Tagessalat  "
"0";"fleisch";"HOME ABEND";"Griechische Moussaka mit Rindfleisch, Kartoffeln und Auberginen gratiniert mit Béchamel Menusalat"
"1";"vegi";"GARDEN ABEND";"Griechische Moussaka mit Zucchetti, Kartoffeln und Auberginen gratiniert mit Béchamel Menusalat"
"1";"vegi";"FREE CHOICE";"Güggeli Abig Poulet Cordon bleu Tartarsauce Pommes frites Blattsalat"
"0";"fleisch";"Hausgemachte Pizza";"Pizza “America”  Ofenfrische Pizza mit Tomaten, Mozzarella, Schinken und Mais"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Hanfbällchen an Kokos-Limetten Sauce, Jasminreis"
"0";"fleisch";"Ell";"Poulet Meatballs (CH) Preiselbeersauce, Spätzli, Rotkraut"
"0";"fleisch";"Classic";"Aelpler Makkaroni mit Speck (CH) Kartoffeln, Zwiebeln und Käsesauce, Apfelkompott"
"1";"vegi";"Bowl Green";"Dim Sum mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Crevetten mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"LOCAL";""Ossobuco" Schweinehaxe mit Gremolata Rösti Tomatierte Schwarzwurzeln"
"0";"fleisch";"STREET";"Tuna Bowl mit Sesam, Quinoareis, Mango, Spinatblätter,  Ingwer, Edamame und Spicy-Teriyakisauce"
"1";"vegi";"GARDEN";"Würzige Semmelknödel an Rahmsauce mit Pilzen, Gemüsestreifen und Romanesco"
"0";"fleisch";"HOME";"Pasta Plausch Spaghetti Sauce alla carbonara Sauce Bolgnese Sauce all`arrabiata Reibkäse und Blattsalat"
"0";"fleisch";"SOUP";"Alphütten-Suppe mit Salsiz"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot  mit Schweins- oder Pouletgyros Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"0";"fleisch";"Trailer Special";"Alpen Burger Beefburger oder Blumenkohl-Käseburger Ciabattabun, Sauerrahm, Kopfsalat, Greyerzer und Rösti-Sticks"
"1";"vegi";"Trailer Vegetarian";"Würzige Semmelknödel an Rahmsauce mit Pilzen, Gemüsestreifen und Romanesco"
"1";"vegi";"Vegi Menü";"Auberginencurry mit Gemüse und Nüssen  Basmati Reis Tagessalat "
"0";"fleisch";"Classic Menü";"Kalbsfleisch Kugeln (CH) in Kräutersauce  Kartoffelstock  Gemüse "
"0";"fleisch";"HOME ABEND";"Ofenfrischer Fleischkäse Pinot Noir Sauce Spätzli Broccoli"
"1";"vegi";"GARDEN ABEND";"Gemüse-Stroganoff Trockenreis Sauerrahm Menusalat"
"0";"fleisch";"SOUP";"Alphütten-Suppe mit Salsiz"
"0";"fleisch";"Pasta";"Pasta con pomodori freschi, gamberi e spinaci Pasta mit frischen Tomaten, Crevetten und Spinat"
"0";"fleisch";"Ell";"Pastetchen mit Kalbsbrätchügeli, Pilzsauce, Mosaikreis, Kürbis aus dem Ofen"
"1";"vegi";"Veggie";"Auberginencurry mit gebratenem Käse, Jasminreis, Tagessalat"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Zucchettischeiben an Terriaki Sauce, Bulgur mit Sesam und Quinoa, Kabissalat mit Curry"
"0";"fleisch";"Classic";"Calamares Ringe (87), Aioli Sauce, Pommes Soufflées, Ratatouille"
"1";"vegi";"Bowl Green";"Dim Sum mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Crevetten mit Edamame, Karotten,  Pak Choi, Sojasprossen, Avocado, Koriander, Ingwer und Chili Quinoa oder Sobanudeln Teryaki-Sauce oder Miso-Bouillon"
"0";"fleisch";"LOCAL";"Bœuf Stroganoff Rindsvoressen mit Paprikasauce und Sauerrahm Gnocchi Rosenkohl mit Meerrettich"
"0";"fleisch";"STREET";"Schnitzeljagd Paniertes Schweineschnitzel mit Reibkäse und Petersilie Tartarsauce Pommes frites Bohnen im Speckmantel Onion ring Zitronenschnitz"
"1";"vegi";"GARDEN";"Raviolini di verdura Kerbelrahmsauce Karotten, Sellerie und Zucchetti Reibkäse"
"0";"fleisch";"HOME";"Schlemmerfilet Bordelaise Tomatenreis mit Belugalinsen Fenchel mit Dill"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot  mit Schweins- oder Pouletgyros Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"0";"fleisch";"Trailer Special";"Schnitzeljagd Paniertes Schweineschnitzel mit Reibkäse und Petersilie Tartarsauce Pommes frites Bohnen im Speckmantel Onion ring Zitronenschnitz"
"1";"vegi";"Trailer Vegetarian";"Raviolini verdura Kerbelrahmsauce Karotten, Sellerie und Zucchetti Reibkäse"
"1";"vegi";"Vegi Menü";"Spätzli Topf  mit Pilzen und  Lauchgemüse Tagessalat  "
"0";"fleisch";"Classic Menü";"Dürüm gefüllt mit Kebab(D) mit Kabis,Zwiebeln Tomaten  im Dürüm-Fladen  Ofenkartoffeln  "
"0";"fleisch";"WOK STREET";"SAGURA mit Schweizer Poulet, Japanischer Currysauce Kürbis, Kartoffeln, Pfälzer, Edamame Bohnen und Jasminreis  Add on: Fried Rice (+1.00/1.50)"
"1";"vegi";"WOK GREEN";"MIDORI mit geräuchertem Tofu, Japanischer Currysauce Kürbis, Kartoffeln, Pfälzer, Edamame Bohnen und Jasminreis  Add on: Fried Rice (+1.00/1.50)"
"0";"fleisch";"DELIGHT";"BALI DANGING Fleisch - Linsen Tätschchen Indonesische Art  Ingwer, Galgant, Lorbeer, Knoblauch, Zwiebeln Reisnudeln Broccoli, Zucchetti, Chinakohl und Sellerie  Add on: XXL (+1.00/1.50)"
"1";"vegi";"GARDEN";"VEGI SPECIAL BHARA Südindisches Curry mit Pfifferlinge, Auberginen, Kartoffeln, Kürbis, Kokos - Chutney und Zitronenreis  Add on: XXL (+1.00/1.50)"
"0";"fleisch";"fire";"Massaman Curry Poulet  Curry -Kokos-Sauce Lemongras Jasminreis  Kefen"
"0";"fleisch";"grill";"Schweins Haxen Bratensauce Croutons, Silberzwiebeln, Petersilie Semmelknödel Rotkraut"
"0";"fleisch";"Tageshit";"Kalbsbratwurst mit Röstkartoffeln, Spitzpaprika und Senf-Mayo Dip"
"0";"fleisch";"Wochenmenü Fleisch";"Rinds Stroganoff mit Peperoni, Champignons, Sauergurken und Tagliatelle"
"1";"vegi";"Wochenmenü Vegi";"Gebackener Chicorèè mit Kartoffelcreme, Cima die Rapa und Chiliöl "
"0";"fleisch";"Wochenmenü Fisch";"Lachsforelle auf Cannellini Bohnen mit Wirsing und Safransauce"
"0";"fleisch";"Hausgemachte Pizza";"Pizza al chorizo Ofenfrische Pizza mit Tomaten, Mozzarella und Chorizo"
"0";"fleisch";"Tagesangebot";"Poulet Bools Tandoori  Gemüse Basmatireis"
"1";"vegi";"Vegetarisch";"Tofu-Kokos Curry Gemüse Basmatireis"
"0";"fleisch";"Wochenangebot";"Lamm-Apfel-Karotten Curry Gemüse Basmatireis"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Rassiges Kichererbsen Chili mit Bohnen und Gemüse, Quinoa mit Reis und  Pilzen"
"0";"fleisch";"Ell";"Vollkornpenne  "Frutti di mare" (VN) mit Meeresfrüchten, Gemüse und Kräuter Tagessalat"
"0";"fleisch";"Classic";"Pouletsteack Brätlerkartoffeln Rosenkohl"
"1";"vegi";"Veggie";"Klimamontag, Quinoaküchlein auf lauwarmem Nudelsalat mit Ajvar Dip"
"1";"vegi";"Bowl Green";"Geräucherter Tofu mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Thon mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"1";"vegi";"green daily";"Super Food DAY Weisse Bohnen Grünkohl mit schwarzem Sesam Ebli mit Gemüse"
"0";"fleisch";"LOCAL";"Wildschwein Entrecote mit Sherrysauce Galettini Provencale Rosenkohl, Schwarzwurzel, Kürbis"
"0";"fleisch";"STREET";"Fish & Chili Cheese Nuggets Pommes frites Mayonnaise  mit Pfeffer & Limone Cole slaw"
"1";"vegi";"GARDEN";"Pastasotto mit Rahmpesto,  Cherrytomaten, Zucchetti, Auberginen und Peperoni Reibkäse"
"0";"fleisch";"HOME";"Tandoori Chicken Poulet mit Tandoorisauce Gebratener Reis Sojasprossen"
"0";"fleisch";"pizza mamma mia";"Pizza Hawaii Hausgemachte Tomatensauce, Oregano, Mozzarella, Ananas, Schinken Saisonsalat"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot mit Schweinsgyros,  Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"0";"fleisch";"Trailer Special";"Fish & Chili Cheese Nuggets Pommes frites Mayonnaise  mit Pfeffer & Limone Cole slaw"
"1";"vegi";"Trailer Vegetarian";"Pastasotto mit Rahmpesto,  Cherrytomaten, Zucchetti, Auberginen und Peperoni Reibkäse"
"1";"vegi";"Vegi Menü";"Kichererbsen Curry  mit Spinat  Basmati Reis  Tagessalat  "
"0";"fleisch";"Classic Menü";"Rindfleischstreifen  an Tomatenrahmsauce  mit Gemüse  Spätzli  "
"0";"fleisch";"HOME ABEND";"Jalapenos Mango Lamb Lamm-Meatballs mit fruchtiger  Mango-Minze-Sauce, gedämpftem Reis und frischen Jalapenos"
"1";"vegi";"GARDEN ABEND";"Vegetarische Älpler-Makkaroni mit Rahm, Kartoffeln,  Zwiebeln und Sbrinz Apfelmus"
"1";"vegi";"WOK GREEN";"RENDANG Okra mit Malaiische Currysauce Pfälzer, Gurken, Karotten und Basmatireis  Add on: Fried Rice (+1.00/1.50)"
"0";"fleisch";"DELIGHT";"MAHN FAH Schweizer Schwein grüne Thaicurrysauce - pikant Vollkornreis Zucchetti, Karotten und Sambal  Add on: XXL (+1.00/1.50)"
"1";"vegi";"GARDEN";"MIE SUA Gebratene Weizennudeln mit Ei, Thai Schnittlauch, Sojasprossen, Kürbis, Pfälzer und Dim Sum  Add on: XXL (+1.00/1.50)"
"0";"fleisch";"fire";"Poulet Tzatziki Bulgur Gemüse"
"0";"fleisch";"grill";"Kürbisbratwurst Feigensenf Rösti Broccoli"
"0";"fleisch";"flame";"Schweinsfilet im Teig Zwetschgen-Schalotten Confit Süsskartoffelstock Romanesco"
"1";"vegi";"Tageshit";"Vollkorn Penne mit Pilzragout uund Pecorino"
"0";"fleisch";"Wochenmenü Fleisch";"Rinds Stroganoff mit Peperoni, Champignons, Sauergurken und Tagliatelle"
"1";"vegi";"Wochenmenü Vegi";"Gebackener Chicorèè mit Kartoffelcreme, Cima die Rapa und Chiliöl "
"0";"fleisch";"Wochenmenü Fisch";"Lachsforelle auf Cannellini Bohnen mit Wirsing und Safransauce"
"0";"fleisch";"Pasta";"Pasta alla panna e senape con prosciutto Pasta mit Senfrahmsauce, Schinken und Lauch"
"0";"fleisch";"Tagesangebot";"Poulet-Bools Tandoori Gemüse Basmatireis"
"1";"vegi";"Vegetarisch";"Tofu-Kokos-Curry Gemüse Basmatireis"
"0";"fleisch";"Wochenangebot";"Lamm-Apfel-Karotten Curry Gemüse Basmatiresi"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon Ayurvedisches Kitchari  mit Spinat, Linsen und Basmatireis dazu einen lauwarmen Gemüsesalat"
"0";"fleisch";"Ell";"Rindsgeschnetzeltes  "Stroganoff" (CH) Paprikasauce mit Essiggurke und Peperoni Spätzli Broccoli"
"1";"vegi";"Veggie";"Auberginen Curry mit Apfel Joghurt Dip, Basmati Reis, Tagessalat"
"1";"vegi";"Bowl Green";"Geräucherter Tofu mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Thon mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"1";"vegi";"green daily";"Vegan Day Kartoffel Eintopf Soja-Paprika Sauce Gemüse Reis Romanesco"
"0";"fleisch";"LOCAL";"Cannelloni della Nonna Röhrennudeln gefüllt mit Ricotta  und Spinat Tomatenpesto und Rucola"
"1";"vegi";"GARDEN";"Huusgmachti G`mües Tätschli mit Champignonsauce Spätzli Tarator Gurkensalat"
"0";"fleisch";"HOME";"Rinds-Hackbraten mit Estragonsauce Bratkartoffeln Ofen Blumenkohl mit Kräuterkruste"
"0";"fleisch";"pizza mamma mia";"Pizza Hawaii Hausgemachte Tomatensauce, Oregano, Mozzarella, Ananas, Schinken Saisonsalat"
"0";"fleisch";"pasta deliziosa";"Triondo al salmone Rauchlachs Vodka Rahmsauce Saisonsalat"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot mit Schweinsgyros,  Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"0";"fleisch";"Trailer Special";"Currywurst mit pikanter Sauce Pommes Frites Tagessalat"
"1";"vegi";"Trailer Vegetarian";"Huusgmachti G`mües Tätschli mit Champignonsauce Spätzli Tarator Gurkensalat"
"1";"vegi";"Vegi Menü";"Quinoa Reischüchlein  mit Paprika Dip  Mischgemüse  Tagessalat  "
"0";"fleisch";"Classic Menü";"Pouletsteak  (CH)  Pilzrahmsauce  Nüdeli   Gemüse  "
"0";"fleisch";"HOME ABEND";"Krawättli alla Carbonara an Speckrahmsauce mit frischen Kräutern Reibkäse Tagessalat"
"1";"vegi";"GARDEN ABEND";"Hausgemachte Karotten-Raclettequiche Blattsalat"
"0";"fleisch";"WOK STREET";"PRIG PAU Ente geröstete Chiliöl Sauce Zucchetti, rote Zwiebeln, Peperoni Jasminreis  Add on: Fried Rice (+1.00/1.50)"
"1";"vegi";"WOK GREEN";"PRIG YANG Ka Set (Sojaprodukt) geröstete Chiliöl Sauce Zucchetti, rote Zwiebeln, Peperoni Jasminreis  Add on: Fried Rice (+1.00/1.50)"
"0";"fleisch";"DELIGHT";"KHAOW MHOG GAI Schweizer Pouletschenkel  Curry - Kokosmilch mariniert mit Indischem Pilawreis Gurkensalat  Add on: XXL (+1.00/1.50)"
"1";"vegi";"GARDEN";"YALA Veganes Massaman Thaicurry mit Kürbis, Pfälzer, Zwiebeln, Kartoffeln, hausgemachtem Saitan und Jasminreis  Add on: XXL (+1.00/1.50)"
"0";"fleisch";"fire";"Schlemmerfilet Bordelaise MSC Pilawreis Rahmspinat"
"0";"fleisch";"grill";"Wiener Putenschnitzel Zitronen Schnitz Pommes Frites Kräuter-Tomate"
"0";"fleisch";"flame";"Schweinsfilet im Teig Zwetschgen-Schalotten Confit Süsskartoffelstock Romanesco"
"0";"fleisch";"Tageshit";"Schweinssteak mit Kürbiscreme, Pimientos und Preiselbeer-Joghurt"
"0";"fleisch";"Wochenmenü Fleisch";"Rinds Stroganoff mit Peperoni, Champignons, Sauergurken und Tagliatelle"
"1";"vegi";"Wochenmenü Vegi";"Gebackener Chicorèè mit Kartoffelcreme, Cima die Rapa und Chiliöl "
"0";"fleisch";"Wochenmenü Fisch";"Lachsforelle auf Cannellini Bohnen mit Wirsing und Safransauce"
"1";"vegi";"Vegan Pot & Spoon";"Vegan Pot & Spoon, Auberginen Türmchen gefüllt mit cremigem Rucolapürre, Tomaten Radiatore"
"1";"vegi";"Veggie";"Randenrisotto mit Lauch und gebratenen Pilzen, Rucola-Pesto, Tagessalat"
"0";"fleisch";"Ell";"Grünes Kokos Curry mit Schweinefleisch und Gemüse Basmatireis Tagessalat"
"1";"vegi";"Bowl Green";"Geräucherter Tofu mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Meat";"Chicken mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"0";"fleisch";"Bowl Fish";"Thon mit Edamame, Karotten,  Lattich, Sojasprossen, Ananas, Koriander, Ingwer und Chili Basmatireis oder Glasnudeln Wasabi-Sojasauce oder Miso-Bouillon"
"1";"vegi";"green daily";"Chefs Day Auberginen Piccata Tomatensauce Fusili Zucchetti"
"0";"fleisch";"STREET";"Alpen Burger Beefburger oder Blumenkohl-Käseburger Ciabattabun, Sauerrahm, Kopfsalat, Greyerzer und Rösti-Sticks"
"1";"vegi";"GARDEN";"Vegan Day Auberginen, Peperoni,  Zucchetti und Artischocken  Tomatensauce Pilawreis Dörrfrüchte und Kernen"
"0";"fleisch";"HOME";"Swiss Hörnli Gratin mit Speckwürfeln und gerösteten Zwiebelstreifen Tagessalat"
"0";"fleisch";"LOCAL";"Young chefs @ local Pochiertes Steinbutt-Filet mit Choron-Sauce Salzkartoffeln Blattspinat mit Zwiebeln"
"0";"fleisch";"pizza mamma mia";"Pizza salame picante Hausgemachte Tomatensauce, Mozzarella, scharfer Salami Saisonsalat"
"0";"fleisch";"pasta classica";"Lumaconi con tonno e piselli Tomatensauce, MSC Thunfisch und Erbsen Saisonsalat"
"0";"fleisch";"pasta deliziosa";"Schupfnudeln ala grecca Rohschinken, Peperoni, Zuchetti, Tomaten, Feta Rohschinken Saisonsalat"
"0";"fleisch";"Trailer Signature";"Pita Gyros Gefülltes Pitabrot mit Schweinsgyros,  Tzazikisauce, Kabis, Gurken, roten Zwiebeln  und Pommes frites"
"1";"vegi";"Trailer Vegetarian";"Vegan Day Auberginen, Peperoni,  Zucchetti und Artischocken  Tomatensauce Pilawreis Dörrfrüchte und Kernen"
"1";"vegi";"Vegi Menü";"Samosa mit Gemüsefüllung  Pfefferminz Joghurt Dip  gebratener Reis  Tagessalat  "
